iter	Passed	Remaining
934	1852	128
935	1854	126
936	1856	124
937	1858	122
938	1859	120
939	1861	118
940	1863	116
941	1865	114
942	1867	112
943	1869	110
944	1871	108
945	1873	106
946	1875	104
947	1876	102
948	1878	100
949	1880	98
950	1882	96
951	1884	94
952	1885	92
953	1887	90
954	1888	88
955	1890	86
956	1891	84
957	1893	82
958	1894	81
959	1896	79
960	1897	77
961	1899	75
962	1900	73
963	1902	71
964	1903	69
965	1905	67
966	1907	65
967	1908	63
968	1910	61
969	1911	59
970	1913	57
971	1915	55
972	1916	53
973	1918	51
974	1919	49
975	1921	47
976	1922	45
977	1924	43
978	1926	41
979	1927	39
980	1929	37
981	1930	35
982	1932	33
983	1933	31
984	1935	29
985	1936	27
986	1938	25
987	1940	23
988	1941	21
989	1943	19
990	1944	17
991	1946	15
992	1947	13
993	1949	11
994	1950	9
995	1952	7
996	1954	5
997	1955	3
998	1957	1
999	1959	0
